id,handle,followers_count,friends_count,isProxy
332,"tkirstinho",593,607,0
333,"fcstpauli",223021,163,0
334,"ZDFheute",731653,318,0
335,"SPONSORsVerlag",6035,312,0
336,"sebkneissl",936,151,0
337,"RevedTV",85834,188,0
338,"CDPROJEKTRED",1066381,50,0
339,"felgenralle",35482,364,0
340,"LFCVine",127101,542,0
341,"MSVDuisburg",59896,112,0
342,"_ChrisBascombe",125601,681,0
343,"DeChangeman",31252,1246,0
344,"f95",166852,208,0
345,"TnglTngl",58,416,0
346,"topfvollgold",11506,54,0
347,"rki_de",468224,124,0
348,"DLGottheit",167,620,0
349,"FCH1846",33879,111,0
350,"ratiopharmulm",27327,183,0
351,"neunzig_plus",12455,1086,0
352,"EURO2020",1820459,500,0
353,"GeilerSport",1089,1199,0
354,"preisleralex",3,14,0
355,"Copa90HQ",9841,3898,0
356,"cordsauer",3295,3259,0
357,"marvinkirsch_",80,17,0
358,"BoringMilner",655449,4,0
359,"AndreasRenner",1643,198,0
360,"juventusfcen",2382662,56,0
361,"nati_sfv_asf",129209,122,0
362,"CONIFAOfficial",18073,3385,0
363,"mpluss93",89,222,0
364,"TransfersLlVE",230132,101,0
365,"FranzBuechner",1088,178,0
366,"Cavanisfriseur",3366,1233,0
367,"England",4287990,460,0
368,"DFB_Pokal",89797,84,0
369,"footballiceland",49969,455,0
370,"FCSG_1879",10193,102,0
371,"equipedefrance",5018061,353,0
372,"IAmJoeThompson",16984,1621,0
373,"chstadtler",573,808,0
374,"nicohermann99",548,1316,0
375,"Phisoloph",2597,506,0
376,"c_stra",4568,1157,0
377,"SCPaderborn07",67567,156,0
378,"fums_magazin",72191,1210,0
379,"MSoyke",1291,995,0
380,"ThomasHitz",243851,1075,0
381,"duckporn",7762,44,0
382,"UEFA",1375551,1065,0
383,"GPaubandt",369,1326,0
384,"NetflixDE",1319692,871,0
385,"spielkindcaty",54,223,0
386,"DPloch90",327,501,0
387,"stufetv",75,59,0
388,"HandIOfIBlood",659074,449,0
389,"hrtgn",41112,261,0
390,"ManuThiele",11590,218,0
391,"EuroQualifiers",112305,386,0
392,"Carra23",1684219,947,0
393,"StephanieBaczyk",3481,892,0
394,"leongeis_",63,106,0
395,"Moetomon",16,34,0
396,"TobiGensler",564,90,0
397,"TheFLZone",24150,774,0
398,"eva_bohle",2344,599,0
399,"Floesel20",787,409,0
400,"Kopsache",277,50,0
401,"Alex_Schlueter",10436,278,0
402,"tim_hemmrich",42,106,0
403,"TWahnschaffe",1037,1295,0
404,"leonherzog_",960,975,0
405,"c_drosten",714799,128,0
406,"JHLuft",585,493,0
407,"pr_parcours",472,5,0
408,"kicker_HDH",337,2,0
409,"kicker_ENG",6706,2,0
410,"risklayer",37994,129,0
411,"SnackosaurFlex",37,315,0
412,"max_fritzsching",3216,867,0
413,"devilsulmneuulm",86,119,0
414,"HannesFCB",59,313,0
415,"ASRomaEN",601414,16195,0
416,"GOGcomDE",16973,436,0
417,"AlexAlxalix",2195,314,0
418,"corinna_pretzer",3,19,0
419,"H_E_R_Z_i",1096,294,0
420,"FACupFactfile",17387,1064,0
421,"christantinium",49,92,0
422,"RubyWestside",548,171,0
423,"biermitmilch",28,234,0
424,"SteffenFreund",14917,26,0
425,"Acht10Drein90",966,2124,0
426,"janafeinsinnig",40,124,0
427,"JP_janplatte",2449,517,0
428,"fwk_1907",14918,248,0
429,"DerChef99",371,1439,0
430,"prreport_de",6174,23,0
431,"hashtagutd",216856,762,0
432,"DLFNachrichten",50997,276,0
433,"MaxlWerner",7742,536,0
434,"it_meirl_bot",244821,1,0
435,"fm_de",5481,718,0
436,"WitzigWeil",34539,0,0
437,"heidekopf1846",100,330,0
438,"sweetanita",286285,684,0
439,"F91_Dudelange",957,579,0
440,"jonnywalsh48",774,250,0
441,"Haching_1925",1136,189,0
442,"AntjeHannuschka",262,1040,0
443,"Proschkaja",2,15,0
444,"Marco_LUFC",1000,3292,0
445,"visualsatire",72816,302,0
446,"NoContextEPL",177675,23,0
447,"robbyhunke",9249,960,0
448,"NoContextHumans",672239,47,0
449,"EmojiMashupBot",290963,2,0
450,"Faktlos_pod",18,48,0
451,"OfficialBuryAFC",21485,580,0
452,"boyern_micha",221,399,0
453,"Paulible1",2,13,0
454,"KlickNRush",570,171,0
455,"AndreasKullick",20,229,0
456,"KatzeHagen1892",921,1095,0
457,"Patchar57949560",11,21,0
458,"HerrEmbi",127,241,0
459,"dlr_diversity",433,110,0
460,"memerkette",1502,49,0
461,"T_OHRianer",186,673,0
462,"NASAPersevere",2671421,45,0
463,"infoluencer",55269,144,0
464,"News_LFC_1892",1397,1537,0
465,"AninaKemmerlin1",3,11,0
466,"jibbersessman",1,19,0
467,"horads",77,104,0
468,"Unser_Fussball",2795,20,0
469,"3vierteltrocken",3,1,0
470,"AmongUsGame",1280036,1,0
471,"danielseiler13",8,58,0
472,"m_froehlich_",4,155,0
473,"zerfickungsbot",527,7,0
474,"POTUS",9609701,12,0
475,"martin_stbr",13,9,0
476,"herr_schaefer",178,583,0
477,"AnniTheDuck",229117,221,0
478,"EmiratesFACup",597992,52,0
479,"LaLigaEN",832148,237,0
480,"NorthernIreland",97844,197,0
481,"RomanMotzkus",26894,402,0
482,"sid_lambert",136439,2370,0
483,"DAZN_DE",95561,1518,0
484,"DAZNBoxing",269369,544,0
485,"EFLCulture",853,1017,0
486,"GermanDaggers",791,980,0
487,"dazngroup",83841,403,0
488,"RNBWCV",4635,1539,0
489,"FinnFlo2211",12,37,0
490,"NFLDeutschland",66858,236,0
491,"PolizeiUL",6041,112,0
492,"hdm_praktisch",222,28,0
493,"DAZN_DE_Help",5116,4,0
494,"POTUS45",33181732,38,0
495,"volkerschenk26",15853,170,0
496,"LillyBlaudszun",34500,2356,0
497,"FrauFofo",50,74,0
498,"MarcoKieferl",58,205,0
499,"j_armbruster1",20,194,0
500,"lweaog",16,158,0
501,"DFBPokal_EN",17555,12,0
502,"Liszszy",19,96,0
503,"Fernand79489515",1981,1576,0
504,"RedmenFamilyDE",1061,250,0
505,"LFCLeno",120,333,0
506,"ehtelescope",61690,112,0
507,"ssvulm1846fb",651,59,0
508,"DresdenKopites",206,514,0
509,"chrismuellr",56,332,0
510,"edeljoker_",232,147,0
511,"edit_magazin",384,222,0
512,"DFL_Official",31510,115,0
513,"hdm_crpr",216,56,0
514,"GalPhotoED",2547,2,0
515,"commentaro",19,22,0
516,"FUMSUNDGRAETSCH",3758,1372,0
517,"sj_pavlis",117,192,0
518,"SeattleKraken",233053,284,0
519,"BlackYellow",690706,159,0
520,"ostrl",617,1533,0
521,"d_bethke",518,890,0
522,"JamesMilner",1509263,74,0
523,"Guggi_Nator",60,338,0
524,"FCPlayFair",1618,1209,0
